Date,1st,2nd,3rd,4th,5th,6th
12/25/2022, DEN, MEM, NOP, LAC, PHO, SAC
12/26/2022, DEN, NOP, MEM, LAC, PHO, SAC
12/27/2022, DEN, NOP, MEM, LAC, PHO, DAL
12/28/2022, DEN, NOP, MEM, LAC, PHO, SAC
12/29/2022, DEN, NOP, MEM, LAC, DAL, PHO
12/30/2022, DEN, NOP, MEM, LAC, SAC, DAL
12/31/2022, DEN, NOP, MEM, DAL, SAC, LAC
1/1/2023, DEN, MEM, NOP, DAL, LAC, SAC
1/2/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/3/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/4/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/5/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/6/2023, DEN, MEM, NOP, DAL, SAC, GSW
1/7/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/8/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/9/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/10/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/11/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/12/2023, DEN, MEM, NOP, DAL, SAC, LAC
1/13/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/14/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/15/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/16/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/17/2023, DEN, MEM, NOP, SAC, DAL, LAC
1/18/2023, DEN, MEM, SAC, NOP, DAL, UTA
1/19/2023, DEN, MEM, SAC, NOP, DAL, UTA
1/20/2023, DEN, MEM, SAC, NOP, DAL, LAC
1/21/2023, DEN, MEM, SAC, NOP, DAL, LAC
1/22/2023, DEN, MEM, SAC, NOP, DAL, LAC
1/23/2023, DEN, MEM, SAC, NOP, DAL, LAC
1/24/2023, DEN, MEM, SAC, NOP, LAC, DAL
1/25/2023, DEN, MEM, SAC, NOP, LAC, DAL
1/26/2023, DEN, MEM, SAC, NOP, LAC, DAL
1/27/2023, DEN, MEM, SAC, NOP, LAC, DAL
1/28/2023, DEN, MEM, SAC, LAC, NOP, MIN
1/29/2023, DEN, MEM, SAC, LAC, MIN, GSW
1/30/2023, DEN, MEM, SAC, LAC, GSW, DAL
1/31/2023, DEN, MEM, SAC, LAC, GSW, DAL
2/1/2023, DEN, MEM, SAC, LAC, DAL, MIN
2/2/2023, DEN, MEM, SAC, DAL, LAC, MIN
2/3/2023, DEN, MEM, SAC, DAL, LAC, PHO
2/4/2023, DEN, MEM, SAC, LAC, PHO, DAL
2/5/2023, DEN, MEM, SAC, LAC, PHO, DAL
2/6/2023, DEN, MEM, SAC, LAC, DAL, PHO
2/7/2023, DEN, MEM, SAC, LAC, PHO, DAL
2/8/2023, DEN, MEM, SAC, DAL, PHO, LAC
2/9/2023, DEN, MEM, SAC, DAL, LAC, PHO
2/10/2023, DEN, MEM, SAC, DAL, PHO, LAC
2/11/2023, DEN, MEM, SAC, DAL, PHO, LAC
2/12/2023, DEN, MEM, SAC, DAL, PHO, LAC
2/13/2023, DEN, MEM, SAC, PHO, DAL, LAC
2/14/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/15/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/16/2023, DEN, MEM, SAC, LAC, PHO, DAL
2/23/2023, DEN, MEM, SAC, LAC, PHO, DAL
2/24/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/25/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/26/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/27/2023, DEN, MEM, SAC, PHO, LAC, DAL
2/28/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/1/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/2/2023, DEN, MEM, SAC, PHO, GSW, DAL
3/3/2023, DEN, MEM, SAC, PHO, GSW, DAL
3/4/2023, DEN, MEM, SAC, PHO, GSW, DAL
3/5/2023, DEN, MEM, SAC, PHO, GSW, MIN
3/6/2023, DEN, MEM, SAC, PHO, GSW, MIN
3/7/2023, DEN, MEM, SAC, PHO, DAL, GSW
3/8/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/9/2023, DEN, MEM, SAC, PHO, LAC, DAL
3/10/2023, DEN, MEM, SAC, PHO, LAC, DAL
3/11/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/12/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/13/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/14/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/15/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/16/2023, DEN, SAC, MEM, PHO, LAC, GSW
3/17/2023, DEN, MEM, SAC, PHO, LAC, DAL
3/18/2023, DEN, MEM, SAC, PHO, LAC, DAL
3/19/2023, DEN, MEM, SAC, PHO, LAC, DAL
3/20/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/21/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/22/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/23/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/24/2023, DEN, MEM, SAC, LAC, PHO, GSW
3/25/2023, DEN, MEM, SAC, PHO, GSW, LAC
3/26/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/27/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/28/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/29/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/30/2023, DEN, MEM, SAC, PHO, LAC, GSW
3/31/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/1/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/2/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/4/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/5/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/6/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/7/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/8/2023, DEN, MEM, SAC, PHO, GSW, LAC
4/9/2023, DEN, MEM, SAC, PHO, GSW, LAC
