Date,1st,2nd,3rd,4th,5th,6th
3/4/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/5/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/6/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/7/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/8/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/9/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/10/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/11/2023, MIL, BOS, PHI, CLE, BRK, NYK
3/12/2023, MIL, BOS, PHI, CLE, BRK, NYK
3/13/2023, MIL, BOS, PHI, CLE, BRK, NYK
3/14/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/15/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/16/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/17/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/18/2023, MIL, PHI, BOS, CLE, NYK, BRK
3/19/2023, MIL, PHI, BOS, CLE, NYK, BRK
3/20/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/21/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/22/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/23/2023, MIL, BOS, PHI, CLE, NYK, MIA
3/24/2023, MIL, BOS, PHI, CLE, NYK, MIA
3/25/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/26/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/27/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/28/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/29/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/30/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/31/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/1/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/2/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/4/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/5/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/6/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/7/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/8/2023, MIL, BOS, PHI, CLE, NYK, BRK
4/9/2023, MIL, BOS, PHI, CLE, NYK, BRK
